continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG
EU,GB,92.6.84.5,11,92.6.85.157,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 01:06:45,2073-04-25 01:06:45,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
EU,RO,89.44.100.151,15,89.44.100.151,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 03:11:24,2073-04-25 03:11:24,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
EU,RO,89.44.100.157,15,89.44.100.157,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 07:27:47,2073-04-25 07:27:47,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
EU,RO,89.44.100.157,15,89.44.100.157,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 07:27:47,2073-04-25 07:27:47,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
EU,RO,89.44.100.128,15,89.44.100.160,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 10:34:31,2073-04-25 10:34:31,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,US,100.30.0.65,11,100.30.1.105,100.10.20.4,0.0.0.0,0,0,1,46,2073-04-25 13:28:47,2073-04-25 13:28:47,OTHER,80,TCP,0,0,0,0,0,0,0,0,0,0,1,0,0
EU,GB,92.6.84.3,11,92.6.85.155,100.10.20.4,0.0.0.0,0,0,6,533,2073-04-25 03:43:31,2073-04-25 21:15:44,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.155,0.0.0.0,0,0,4,3109,2073-04-25 03:43:31,2073-04-25 21:15:44,80,1812,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
EU,GB,92.6.84.7,11,92.6.85.159,100.10.20.4,0.0.0.0,0,0,5,488,2073-04-25 06:12:22,2073-04-25 22:53:25,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.159,0.0.0.0,0,0,2,1337,2073-04-25 06:12:22,2073-04-25 22:53:25,80,1825,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.30.1.105,0.0.0.0,0,0,2,1375,2073-04-25 16:37:23,2073-04-26 10:12:52,80,43644,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,100.30.0.65,11,100.30.1.105,100.10.20.4,0.0.0.0,0,0,5,565,2073-04-25 16:37:23,2073-04-26 10:12:52,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 10:10:08,2073-04-26 10:27:55,80,32510,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 10:10:08,2073-04-26 10:27:55,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 11:01:34,2073-04-26 11:18:21,80,32523,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 11:01:34,2073-04-26 11:18:21,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,149,15144,2073-04-25 03:00:33,2073-04-26 12:11:54,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,0,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,234,327039,2073-04-25 03:00:33,2073-04-26 12:11:54,80,1782,TCP,0,0,0,0,0,1,0,0,0,1,0,0,0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,131,10853,2073-04-25 15:36:19,2073-04-26 12:11:54,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,206,294595,2073-04-25 15:36:19,2073-04-26 12:11:54,80,2060,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 11:51:59,2073-04-26 12:08:50,80,32549,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 11:51:59,2073-04-26 12:08:50,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 12:42:29,2073-04-26 12:59:21,80,32575,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 12:42:29,2073-04-26 12:59:21,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,7,620,2073-04-26 13:32:58,2073-04-26 13:49:51,80,32587,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 13:32:58,2073-04-26 13:49:51,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,7,620,2073-04-26 14:23:29,2073-04-26 14:40:21,80,32605,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 14:23:29,2073-04-26 14:40:21,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 15:13:59,2073-04-26 15:31:11,80,32638,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 15:13:59,2073-04-26 15:31:11,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,155.251.87.59,0.0.0.0,0,0,6,568,2073-04-26 16:04:49,2073-04-26 16:21:42,80,32667,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
,,155.251.87.0,16,155.251.87.59,100.10.20.4,0.0.0.0,0,0,10,7585,2073-04-26 16:04:49,2073-04-26 16:21:42,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,19,3110,2073-04-26 01:35:26,2073-04-26 22:20:38,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,18,18844,2073-04-26 01:35:26,2073-04-26 22:20:38,80,2159,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
EU,GB,92.6.84.6,11,92.6.85.158,100.10.20.4,0.0.0.0,0,0,39,2809,2073-04-26 01:35:53,2073-04-26 22:20:38,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.158,0.0.0.0,0,0,67,95824,2073-04-26 01:35:53,2073-04-26 22:20:38,80,2160,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.10,0.0.0.0,0,0,2,92,2073-04-24 23:24:24,2073-04-24 23:24:24,OTHER,3124,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0
NA,US,100.10.20.2,11,100.10.20.10,100.10.20.3,0.0.0.0,0,0,2,92,2073-04-24 23:24:24,2073-04-24 23:24:24,OTHER,1026,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.20,0.0.0.0,0,0,16,13673,2073-04-25 00:09:17,2073-04-25 00:09:28,OTHER,35416,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.10.20.3,0.0.0.0,0,0,14,835,2073-04-25 00:09:17,2073-04-25 00:09:28,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.140.77,0.0.0.0,0,0,13,13648,2073-04-25 00:09:08,2073-04-25 00:11:00,80,45232,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.140.69,11,100.20.140.77,100.10.20.20,0.0.0.0,0,0,14,807,2073-04-25 00:09:08,2073-04-25 00:11:00,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.140.77,0.0.0.0,0,0,7,5674,2073-04-25 00:44:28,2073-04-25 00:44:40,80,45256,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.140.69,11,100.20.140.77,100.10.20.20,0.0.0.0,0,0,7,452,2073-04-25 00:44:28,2073-04-25 00:44:40,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.20.140.77,0.0.0.0,0,0,14,14275,2073-04-25 00:44:34,2073-04-25 00:44:39,80,45257,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.140.69,11,100.20.140.77,100.10.20.20,0.0.0.0,0,0,14,815,2073-04-25 00:44:34,2073-04-25 00:44:39,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.8,0.0.0.0,0,0,2,92,2073-04-25 00:59:44,2073-04-25 00:59:44,OTHER,3039,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0
NA,US,100.10.20.0,11,100.10.20.8,100.10.20.3,0.0.0.0,0,0,2,92,2073-04-25 00:59:44,2073-04-25 00:59:44,OTHER,1026,TCP,0,0,0,0,0,1,0,0,1,0,0,0,0
NA,US,100.5.110.4,11,100.5.111.28,100.10.20.3,0.0.0.0,0,0,10,564,2073-04-25 00:56:33,2073-04-25 01:05:05,OTHER,110,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.5.111.28,0.0.0.0,0,0,9,692,2073-04-25 00:56:33,2073-04-25 01:05:05,110,45263,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
EU,GB,92.6.84.3,11,92.6.85.155,100.10.20.4,0.0.0.0,0,0,5,576,2073-04-26 10:51:38,2073-04-27 03:36:22,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
